"u_userid","u_username","u_name","u_email","u_password","u_usertype"
3,"name3","username3","email3@email.com","password3","user"
4,"name4","username4","email4@email.com","password4","user"
5,"name5","username5","email5@email.com","password5","artist"
6,"name6","username6","email6@email.com","password6","artist"
7,"name7","username7","email7@email.com","password7","artist"
8,"name8","username8","email8@email.com","password8","user"
9,"name9","username9","email9@email.com","password9","artist"
10,"name10","username10","email10@email.com","password10","user"
11,"name11","username11","email11@email.com","password11","artist"
12,"name12","username12","email12@email.com","password12","user"
13,"name13","username13","email13@email.com","password13","user"
14,"name14","username14","email14@email.com","password14","user"
15,"name15","username15","email15@email.com","password15","artist"
16,"name16","username16","email16@email.com","password16","user"
17,"name17","username17","email17@email.com","password17","user"
18,"name18","username18","email18@email.com","password18","user"
19,"name19","username19","email19@email.com","password19","artist"
20,"name20","username20","email20@email.com","password20","artist"
21,"name21","username21","email21@email.com","password21","user"
22,"name22","username22","email22@email.com","password22","artist"
23,"name23","username23","email23@email.com","password23","user"
24,"name24","username24","email24@email.com","password24","artist"
25,"name25","username25","email25@email.com","password25","user"
26,"name26","username26","email26@email.com","password26","user"
27,"name27","username27","email27@email.com","password27","artist"
28,"name28","username28","email28@email.com","password28","user"
29,"name29","username29","email29@email.com","password29","artist"
30,"name30","username30","email30@email.com","password30","artist"
31,"name31","username31","email31@email.com","password31","user"
32,"name32","username32","email32@email.com","password32","user"
33,"name33","username33","email33@email.com","password33","user"
34,"name34","username34","email34@email.com","password34","artist"
35,"name35","username35","email35@email.com","password35","user"
36,"name36","username36","email36@email.com","password36","artist"
37,"name37","username37","email37@email.com","password37","user"
38,"name38","username38","email38@email.com","password38","artist"
39,"name39","username39","email39@email.com","password39","user"
40,"name40","username40","email40@email.com","password40","user"
41,"name41","username41","email41@email.com","password41","artist"
42,"name42","username42","email42@email.com","password42","user"
43,"name43","username43","email43@email.com","password43","artist"
44,"name44","username44","email44@email.com","password44","artist"
45,"name45","username45","email45@email.com","password45","artist"
46,"name46","username46","email46@email.com","password46","user"
47,"name47","username47","email47@email.com","password47","artist"
48,"name48","username48","email48@email.com","password48","user"
49,"name49","username49","email49@email.com","password49","user"
50,"name50","username50","email50@email.com","password50","artist"
51,"name51","username51","email51@email.com","password51","user"
52,"name52","username52","email52@email.com","password52","artist"
53,"name53","username53","email53@email.com","password53","user"
54,"name54","username54","email54@email.com","password54","user"
55,"name55","username55","email55@email.com","password55","artist"
56,"name56","username56","email56@email.com","password56","user"
57,"name57","username57","email57@email.com","password57","artist"
58,"name58","username58","email58@email.com","password58","user"
59,"name59","username59","email59@email.com","password59","user"
60,"name60","username60","email60@email.com","password60","artist"
61,"name61","username61","email61@email.com","password61","artist"
62,"name62","username62","email62@email.com","password62","user"
63,"name63","username63","email63@email.com","password63","user"
64,"name64","username64","email64@email.com","password64","artist"
65,"name65","username65","email65@email.com","password65","artist"
66,"name66","username66","email66@email.com","password66","user"
67,"name67","username67","email67@email.com","password67","user"
68,"name68","username68","email68@email.com","password68","user"
69,"name69","username69","email69@email.com","password69","user"
70,"name70","username70","email70@email.com","password70","artist"
71,"name71","username71","email71@email.com","password71","artist"
72,"name72","username72","email72@email.com","password72","user"
73,"name73","username73","email73@email.com","password73","user"
74,"name74","username74","email74@email.com","password74","user"
75,"name75","username75","email75@email.com","password75","user"
76,"name76","username76","email76@email.com","password76","user"
77,"name77","username77","email77@email.com","password77","user"
78,"name78","username78","email78@email.com","password78","user"
79,"name79","username79","email79@email.com","password79","user"
80,"name80","username80","email80@email.com","password80","user"
81,"name81","username81","email81@email.com","password81","user"
82,"name82","username82","email82@email.com","password82","artist"
83,"name83","username83","email83@email.com","password83","user"
84,"name84","username84","email84@email.com","password84","artist"
85,"name85","username85","email85@email.com","password85","user"
86,"name86","username86","email86@email.com","password86","user"
87,"name87","username87","email87@email.com","password87","artist"
88,"name88","username88","email88@email.com","password88","artist"
89,"name89","username89","email89@email.com","password89","user"
90,"name90","username90","email90@email.com","password90","artist"
91,"name91","username91","email91@email.com","password91","artist"
92,"name92","username92","email92@email.com","password92","artist"
93,"name93","username93","email93@email.com","password93","artist"
2,"name2","username2","newemail1@gmail.com","password2","user"
94,"name94","username94","email94@email.com","password94","user"
95,"name95","username95","email95@email.com","password95","artist"
96,"name96","username96","email96@email.com","password96","artist"
97,"name97","username97","email97@email.com","password97","user"
98,"name98","username98","email98@email.com","password98","artist"
99,"name99","username99","email99@email.com","password99","artist"
100,"name100","username100","email100@email.com","password100","artist"
101,"name101","username101","email101@email.com","password101","artist"
102,"name102","username102","email102@email.com","password102","user"
103,"name103","username103","email103@email.com","password103","artist"
104,"name104","username104","email104@email.com","password104","artist"
105,"name105","username105","email105@email.com","password105","artist"
106,"name106","username106","email106@email.com","password106","artist"
107,"name107","username107","email107@email.com","password107","user"
108,"name108","username108","email108@email.com","password108","user"
109,"name109","username109","email109@email.com","password109","artist"
110,"name110","username110","email110@email.com","password110","artist"
111,"name111","username111","email111@email.com","password111","artist"
112,"name112","username112","email112@email.com","password112","user"
113,"name113","username113","email113@email.com","password113","user"
114,"name114","username114","email114@email.com","password114","artist"
115,"name115","username115","email115@email.com","password115","user"
116,"name116","username116","email116@email.com","password116","user"
117,"name117","username117","email117@email.com","password117","user"
118,"name118","username118","email118@email.com","password118","user"
119,"name119","username119","email119@email.com","password119","user"
120,"name120","username120","email120@email.com","password120","user"
121,"name121","username121","email121@email.com","password121","artist"
122,"name122","username122","email122@email.com","password122","user"
123,"name123","username123","email123@email.com","password123","artist"
124,"name124","username124","email124@email.com","password124","user"
125,"name125","username125","email125@email.com","password125","artist"
126,"name126","username126","email126@email.com","password126","artist"
127,"name127","username127","email127@email.com","password127","artist"
128,"name128","username128","email128@email.com","password128","user"
129,"name129","username129","email129@email.com","password129","user"
130,"name130","username130","email130@email.com","password130","user"
131,"name131","username131","email131@email.com","password131","user"
132,"name132","username132","email132@email.com","password132","artist"
133,"name133","username133","email133@email.com","password133","artist"
134,"name134","username134","email134@email.com","password134","artist"
135,"name135","username135","email135@email.com","password135","artist"
136,"name136","username136","email136@email.com","password136","user"
137,"name137","username137","email137@email.com","password137","user"
138,"name138","username138","email138@email.com","password138","artist"
139,"name139","username139","email139@email.com","password139","user"
140,"name140","username140","email140@email.com","password140","user"
141,"name141","username141","email141@email.com","password141","artist"
142,"name142","username142","email142@email.com","password142","user"
143,"name143","username143","email143@email.com","password143","user"
144,"name144","username144","email144@email.com","password144","user"
145,"name145","username145","email145@email.com","password145","artist"
146,"name146","username146","email146@email.com","password146","user"
147,"name147","username147","email147@email.com","password147","user"
148,"name148","username148","email148@email.com","password148","user"
149,"name149","username149","email149@email.com","password149","artist"
150,"name150","username150","email150@email.com","password150","artist"
151,"name151","username151","email151@email.com","password151","artist"
152,"name152","username152","email152@email.com","password152","user"
153,"name153","username153","email153@email.com","password153","user"
154,"name154","username154","email154@email.com","password154","artist"
155,"name155","username155","email155@email.com","password155","user"
